BILL_CODE,REGISTER_DATE,RETURN_SITE_CODE,SEND_SITE_CODE
77130100320157,"2021-08-10 14:31:32",234124,234134
77130100321299,"2021-08-13 11:15:43",234403,234134
77130100319860,"2021-08-09 13:42:21",234403,234134
77130100321516,"2021-08-14 13:16:39",234124,234134
77130100321324,"2021-08-13 17:15:27",234134,234134
77130100321684,"2021-08-07 14:50:37",234133,234134
77130100321756,"2021-08-11 11:54:17",234155,234134
77130100321232,"2021-08-12 16:35:17",234308,234134
77130100328862,"2021-08-11 10:45:55",234119,234134
77130100320131,"2021-08-12 14:52:25",234113,234134
77130100320369,"2021-08-11 11:02:50",234403,234134
77130100320456,"2021-08-10 09:49:46",234403,234134
77130100321564,"2021-08-09 13:04:33",234135,234134
77130100323779,"2021-08-09 11:19:39",234403,234134
77130100299691,"2021-08-12 17:38:41",234405,234134
77130100299360,"2021-08-09 12:54:04",234124,234134
77130100321220,"2021-08-10 11:24:23",234119,234134
77130100323661,"2021-08-11 17:13:13",234113,234134
77130100320489,"2021-08-10 18:10:54",234134,234134
77130100296187,"2021-08-14 16:44:14",234414,234134
77130100323781,"2021-08-09 17:58:23",234305,234134
77130100321472,"2021-08-10 13:34:25",234129,234134
77130100321416,"2021-08-12 14:42:03",234113,234134
77130100299492,"2021-08-16 15:35:20",234408,234134
77130100305148,"2021-08-10 15:12:44",234103,234134
77130100296807,"2021-08-09 13:05:03",234116,234134
77130100320144,"2021-08-11 11:31:28",234105,234134
77130100320251,"2021-08-13 13:32:34",234144,234134
77130100320530,"2021-08-07 14:29:53",2341,234134
77130100319500,"2021-08-11 16:40:03",234113,234134
77130100322849,"2021-08-14 09:57:40",234408,234134
77130100323419,"2021-08-09 16:44:29",234113,234134
77130100299941,"2021-08-10 12:49:21",234105,234134
77130100303237,"2021-08-09 12:39:11",234105,234134
77130100323276,"2021-08-10 16:56:32",234113,234134
77130100304764,"2021-08-10 12:20:50",234302,234134
77130100317099,"2021-08-14 17:36:31",234414,234134
77130100303211,"2021-08-13 19:10:11",234408,234134
77130100303663,"2021-08-12 15:48:14",234302,234134
77130100303344,"2021-08-11 14:48:42",234302,234134
77130100328888,"2021-08-12 11:41:59",234403,234134
77130100333035,"2021-08-09 09:52:46",234138,234134
77130100303451,"2021-08-16 12:02:13",234119,234134
77130100320093,"2021-08-12 13:45:43",234124,234134
77130100319306,"2021-08-10 13:03:58",234137,234134
77130100304006,"2021-08-12 12:18:47",234116,234134
77130100317109,"2021-08-12 11:11:56",234105,234134
77130100323008,"2021-08-16 15:26:19",234408,234134
77130100293481,"2021-08-09 12:35:40",2343,234134
77130100296478,"2021-08-09 12:55:25",234124,234134
77130100321830,"2021-08-12 15:13:45",234113,234134
77130100323766,"2021-08-10 14:57:00",234124,234134
77130100321046,"2021-08-13 10:57:29",234403,234134
77130100321710,"2021-08-10 13:01:48",234105,234134
77130100321643,"2021-08-10 17:36:35",234113,234134
77130100319206,"2021-08-13 15:03:31",234113,234134
77130100319313,"2021-08-14 17:58:39",234414,234134
77130100317020,"2021-08-11 11:35:42",234105,234134
77130100319219,"2021-08-13 11:11:29",234403,234134
77130100298228,"2021-08-11 17:54:03",234134,234134
77130100321340,"2021-08-16 15:36:33",234408,234134
77130100303796,"2021-08-09 14:32:04",234156,234134
77130100284328,"2021-08-09 12:54:28",234124,234134
77130100307204,"2021-08-09 15:26:32",234143,234134
77130100310569,"2021-08-10 18:10:54",234134,234134
77130100320826,"2021-08-12 13:09:23",234137,234134
77130100309506,"2021-08-12 10:32:42",234144,234134
77130100310079,"2021-08-09 15:45:33",234119,234134
77130100310211,"2021-08-10 12:20:50",234302,234134
77130100310046,"2021-08-09 13:28:37",234103,234134
77130100333048,"2021-08-09 17:41:56",234113,234134
77130100284422,"2021-08-07 13:58:05",234137,234134
77130100309301,"2021-08-09 18:56:18",234124,234134
77130100305625,"2021-08-19 17:19:15",234405,234134
77130100304716,"2021-08-16 14:06:07",234137,234134
77130100298718,"2021-08-11 17:13:39",234132,234134
77130100301089,"2021-08-09 13:07:21",234116,234134
77130100321580,"2021-08-09 17:58:23",234305,234134
77130100308609,"2021-08-09 11:57:52",234125,234134
77130100320782,"2021-08-11 11:15:13",234403,234134
77130100309383,"2021-08-09 15:27:25",234143,234134
77130100309978,"2021-08-09 13:05:18",234116,234134
77130100310536,"2021-08-10 13:33:41",234129,234134
77130100308956,"2021-08-12 12:51:21",234129,234134
77130100308693,"2021-08-10 12:25:11",234135,234134
77130100309023,"2021-08-09 13:38:31",234103,234134
77130100308346,"2021-08-11 16:18:59",234306,234134
77130100307166,"2021-08-09 11:38:55",234161,234134
77130100307883,"2021-08-11 17:54:03",234134,234134
77130100307643,"2021-08-11 17:52:56",234111,234134
77130100309595,"2021-08-07 10:56:42",234133,234134
77130100307950,"2021-08-12 15:48:14",234302,234134
77130100292707,"2021-08-13 17:54:33",234160,234134
77130100309115,"2021-08-10 14:38:53",234135,234134
77130100310357,"2021-08-10 11:58:22",234105,234134
77130100307748,"2021-08-09 12:39:23",234105,234134
77130100308390,"2021-08-09 13:10:54",234135,234134
77130100284491,"2021-08-09 12:02:34",234125,234134
77130100310094,"2021-08-10 18:10:54",234134,234134
77130100309143,"2021-08-09 12:37:32",234105,234134
77130100307217,"2021-08-09 13:29:24",234155,234134
77130100309712,"2021-08-07 14:15:28",234124,234134
77130100309858,"2021-08-09 13:32:26",234135,234134
77130100308902,"2021-08-10 18:45:31",234305,234134
77130100308566,"2021-08-09 13:19:33",234135,234134
77130100309582,"2021-08-10 08:48:03",234160,234134
77130100307876,"2021-08-16 10:45:46",234105,234134
77130100307153,"2021-08-09 12:53:38",234141,234134
77130100307580,"2021-08-09 13:30:34",234103,234134
77130100308466,"2021-08-09 15:52:13",234141,234134
77130100309256,"2021-08-10 15:16:27",234119,234134
77130100307789,"2021-08-09 15:23:28",234143,234134
77130100308892,"2021-08-09 10:17:18",234606,234134
77130100310237,"2021-08-09 13:08:34",234135,234134
77130100309804,"2021-08-09 13:16:18",234135,234134
77130100308305,"2021-08-11 10:48:55",234119,234134
77130100310186,"2021-08-10 08:16:04",234307,234134
77130100308943,"2021-08-12 13:08:03",234140,234134
77130100309207,"2021-08-09 12:40:58",234105,234134
77130100308915,"2021-08-09 13:19:59",234135,234134
77130100310240,"2021-08-13 19:22:22",234160,234134
77130100308175,"2021-08-16 10:48:00",234141,234134
